Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error
0.7,0.2,-7.451318434887639,0.45768004522783085,6.64743730326155,1.1299845619006623
0.7,0.3,-5.060385870656752,0.44517873439600647,6.161122009893389,1.1358531058140648
0.7,0.4,-2.9104434656978198,0.4135178488061577,5.674401308351919,1.1408407953644848
0.7,0.5,-1.1257280513919554,0.37952005682072254,5.194747402295224,1.1449210671214527
0.7,0.6,0.3853520496146059,0.32993303416224196,4.728232657996572,1.148196367497524
0.7,0.7,0.0,0.0,4.279561993419781,1.150816984499279
0.7,0.8,-3.796060391311606,0.4681346273313297,3.852276096534675,1.1529304306205128
0.7,0.9,-8.012029390066683,0.7707297381415911,3.4490264281263157,1.1546594825841046
0.7,1.0,-9.395646745898683,0.8014539028421883,3.0717749276682307,1.156098038284436
0.8,0.0,-8.592255542042842,0.8001863878468749,2.7219615580472825,1.1573147502936494
0.8,0.1,-6.120747265381111,0.7952782943157679,2.400622799770473,1.1583589431658257
0.8,0.2,-3.6552580435760333,0.7919000058251838,2.1084695464883305,1.1592661353012568
0.8,0.3,-1.2643254793451466,0.7847411681469291,1.8459375642179445,1.1600623415896312
0.8,0.4,0.8856169256137867,0.7672233095438701,1.6132402162568171,1.160767079447549
0.8,0.5,2.670332339919651,0.7494465084016212,1.4103913743657985,1.1613954246691411
0.8,0.6,4.181412440926212,0.7255965838244278,1.2372391917444885,1.1619592988593088
0.8,0.7,3.796060391311606,0.4681346273313297,1.0934933404185605,1.162468318167811
0.8,0.8,0.0,0.0,0.9787458030752267,1.1629303470298111
0.8,0.9,-4.215968998755078,0.3675034795146994,0.8924909554287952,1.163351876001906
0.8,1.0,-5.5995863545870765,0.42820887027311955,0.8341468700959966,1.1637382801825
0.9,0.0,-4.376286543287767,1.0075577180710753,0.8030689654965357,1.1640940377737978
0.9,0.1,-1.9047782666260327,1.0036642194274736,0.7985649945001807,1.1644228819737634
0.9,0.2,0.5607109551790446,1.0009894700620425,-0.2573040877174799,0.02225622451537886
0.9,0.3,2.9516435194099313,0.9953356222570201,0.0,0.0
0.9,0.4,5.101585924368864,0.9815833671454564,0.25300936718272826,0.022760030456346603
0.9,0.5,6.886301338674729,0.967752224954582,0.5014556605041527,0.04595660707876519
0.9,0.6,8.39738143968129,0.9494022869189027,0.745159542028814,0.06949067911200833
0.9,0.7,8.012029390066683,0.7707297381415911,0.9840270708922079,0.0932363909373866
0.9,0.8,4.215968998755078,0.3675034795146994,1.218094446455357,0.11703890340620568
0.9,0.9,0.0,0.0,1.4475145006191794,0.14072232179949873
0.9,1.0,-1.3836173558319986,0.13417118434335806,1.6725634126239557,0.16409808490471522
1.0,0.0,-2.992669187455768,1.0312500106035212,1.8936415838806053,0.1869776616692541
1.0,0.1,-0.5211609107940349,1.0274462976156613,2.111246349435371,0.20917961443826236
1.0,0.2,1.9443283110110432,1.024833619813606,2.3259667765096865,0.2305460228965262
1.0,0.3,4.33526087524193,1.0193120376307443,2.5384468805435674,0.2509452758877094
1.0,0.4,6.485203280200864,1.0058876357634494,2.7493552110602306,0.2702816973978662
1.0,0.5,8.269918694506726,0.9923952831557162,2.959370730885854,0.28849300660017335
1.0,0.6,9.780998795513288,0.9745094825254461,3.169135955910742,0.30555232276660077
1.0,0.7,9.395646745898683,0.8014539028421883,3.3792521727140663,0.32146149085507225
1.0,0.8,5.5995863545870765,0.42820887027311955,3.5902447688047214,0.3362509239009073
1.0,0.9,1.3836173558319986,0.13417118434335806,3.8025528778945903,0.34996943698973
1.0,1.0,0.0,0.0,4.01650975514457,0.36268469225706074
,,,,4.232330029458746,0.3744756065036388
,,,,4.450097150635425,0.3854316262312948
,,,,4.669756119266156,0.3956510971188764
,,,,4.891090579394977,0.40524275057243414
,,,,5.113729349568547,0.4143279021707843
,,,,5.337130844725423,0.42304714192271875
,,,,5.560594845198641,0.4315668781580836
,,,,5.783273011513666,0.44009006059437294
,,,,6.0042038090233785,0.448859363222804
,,,,6.22235806067847,0.4581595248405495
,,,,6.436707386322265,0.46830030223347063
,,,,6.646300260450093,0.4795844574343724
,,,,6.850352290427139,0.49225762445773724
,,,,7.048309728073113,0.5064532323668883
,,,,7.239903274875969,0.5221477086980009
,,,,7.425165799209175,0.5391479175307152
,,,,7.604401077439816,0.557117167075232
,,,,7.778130156670083,0.5756324808355489
,,,,7.947012692684434,0.5942551872752363
,,,,8.11175270478746,0.612595962203803
,,,,8.273024206956919,0.6303582907263957
,,,,8.431395279765532,0.6473604434275347
,,,,8.58728513653907,0.6635355311096142
,,,,8.740928558805923,0.6789198359378347
,,,,8.892366886866384,0.6936327157740912
,,,,9.041446571895975,0.7078555919162074
,,,,9.187824814786968,0.7218101129856082
,,,,9.330989285253288,0.735735585553121
,,,,9.470278393082353,0.7498706206543427
,,,,9.604912941483725,0.7644330890217268
,,,,9.73403852599985,0.7796041918367662
,,,,9.856762554383618,0.7955155404421795
,,,,9.97220380472525,0.8122407208627065
,,,,10.079523912138168,0.8297914735457698
,,,,10.177946319114746,0.8481167372798707
,,,,10.266746755776897,0.8671038360816472
,,,,10.34521531174514,0.8865836185446664
,,,,10.412597464350569,0.9063365103609302
,,,,10.468038335827895,0.9261026447534868
,,,,10.51054412917621,0.9455961103944418
,,,,10.538977398637076,0.9645206019647726
,,,,10.552087521911343,0.9825865889637199
,,,,10.548537003263192,0.9995274464092486
,,,,10.526904178736228,1.0151147865357035
,,,,10.485602597206196,1.0291687651537924
,,,,10.422738992331382,1.0415661941574317
,,,,10.336009514632906,1.0522455699652469
,,,,10.222729047162016,1.061214877998832
,,,,10.080123774877869,1.0685637385528162
,,,,9.905851630427282,1.0744732451552748
,,,,9.698502560611747,1.0792133872704095
,,,,9.457747511748913,1.083124319319852
,,,,9.183981703992146,1.0865927625582017
,,,,8.87762335119406,1.0900346968110146
,,,,8.53861337187967,1.0938721678082135
,,,,8.16662693172351,1.09846875217998
,,,,7.7620659480871295,1.1040052105942828
,,,,7.327324765100022,1.110355082644522
,,,,6.867522653833214,1.1170858060355102
,,,,6.39013321554407,1.1236341812158932
,,,,5.903817922175909,1.1295357192431315
,,,,5.417097220634439,1.1345511814918408
,,,,4.937443314577744,1.1386539917790932
,,,,4.470928570279092,1.1419472673422064
,,,,4.022257905702301,1.1445821922727855
,,,,3.5949720088171953,1.1467071295265299
,,,,3.1917223404088357,1.148445551072305
,,,,2.8144708399507508,1.1498918806486425
,,,,2.4646574703298025,1.1511151524951517
